"","title","author","subject","abstract","meta"
"1","Deep Bi-directional Attention Network for Image Super-Resolution Quality Assessment","Yixiao Li, Xiaoyuan Yang, Jun Fu, Guanghui Yue, Wei Zhou","Multimedia (cs.MM)","There has emerged a growing interest in exploring efficient quality assessment algorithms for image super-resolution (SR). However, employing deep learning techniques, especially dual-branch algorithms, to automatically evaluate the visual quality of SR images remains challenging. Existing SR image quality assessment (IQA) metrics based on two-stream networks lack interactions between branches. To address this, we propose a novel full-reference IQA (FR-IQA) method for SR images. Specifically, producing SR images and evaluating how close the SR images are to the corresponding HR references are separate processes. Based on this consideration, we construct a deep Bi-directional Attention Network (BiAtten-Net) that dynamically deepens visual attention to distortions in both processes, which aligns well with the human visual system (HVS). Experiments on public SR quality databases demonstrate the superiority of our proposed BiAtten-Net over state-of-the-art quality assessment methods. In addition, the visualization results and ablation study show the effectiveness of bi-directional attention.","Fri, 15 Mar 2024 15:38:30 UTC (2,855 KB)"
"2","Action Functional as Early Warning Indicator in the Space of Probability Measures","Peng Zhang, Ting Gao, Jin Guo, Jinqiao Duan","Dynamical Systems (math.DS)","In neuroscience, scientists have some hypotheses on the brain's critical dynamics, which means the brain may stay in a phase transition state between ordered and disordered activities. Some tipping points, as a past of no return, can be critical for neural diseases. Therefore, a key question is how the critical brain hypothesis relates to pathological conditions compared with normal brain functionality. Action functional between two meta-stable states in stochastic dynamical systems is a good tool to study the critical transition and tipping. Here we extend the conventional Onsager-Machlup action functional of finding the most probable transition pathway to be looking for the evolutionary transition dynamics between two meta-stable invariant sets. Hence a rich theory from Schrödinger Bridge and Optimal Transport is brought in to solve this problem. Furthermore, different from various early warning indicators via statistics, bifurcation theory, information theory, statistical physics, topology, graph theory, we propose a novel viewpoint of early warning indicators in the space of probability measure, which facilitates us to build indicators based on action functional. To validate our framework, we apply this methodology to a Morris-Lecar model introduced to analyze the transition dynamics between a meta-stable state and the homo-clinic orbit. Besides, the real Alzheimer's data from ADNI database is also investigated to study the early warning signals of transition from healthy to pre-AD states. This framework not only extends the transition path to be pathway measures between two given densities on invariant sets but also shows potential ability for early warning indicators or biomarkers in complex diseases.","Fri, 15 Mar 2024 15:38:15 UTC (3,938 KB)"
"3","KIF: A Framework for Virtual Integration of Heterogeneous Knowledge Bases using Wikidata","Guilherme Lima, Marcelo Machado, Elton Soares, Sandro R. Fiorini, Raphael Thiago, Leonardo G. Azevedo, Viviane T. da Silva, Renato Cerqueira","Artificial Intelligence (cs.AI)","We present a knowledge integration framework (called KIF) that uses Wikidata as a lingua franca to integrate heterogeneous knowledge bases. These can be triplestores, relational databases, CSV files, etc., which may or may not use the Wikidata dialect of RDF. KIF leverages Wikidata's data model and vocabulary plus user-defined mappings to expose a unified view of the integrated bases while keeping track of the context and provenance of their statements. The result is a virtual knowledge base which behaves like an ""extended Wikidata"" and which can be queried either through an efficient filter interface or using SPARQL. We present the design and implementation of KIF, discuss how we have used it to solve a real integration problem in the domain of chemistry (involving Wikidata, PubChem, and IBM CIRCA), and present experimental results on the performance and overhead of KIF.","Fri, 15 Mar 2024 13:46:36 UTC (244 KB)"
"4","H$α$ Time Delays of AGNs from the Zwicky Transcient Facility Broadband Photometry","Qinchun Ma, Yuhan Wen, Xue-Bing Wu, Huapeng Gu, Yuming Fu","Astrophysics of Galaxies (astro-ph.GA)","In our previous work on broadband photometric reverberation mapping (PRM), we proposed the ICCF-Cut process to obtain the time lags of H$\alpha$ emission line from two broadband lightcurves via subtracting the continuum emission from the line band. Extending the work, we enlarge our sample to the Zwicky Transient Facility (ZTF) database. We adopt two criteria to select 123 type 1 AGNs with sufficient variability and smooth lightcurves from 3537 AGNs at $z<0.09$ with more than 100 epoch observations in the $g$ and $r$ bands from the ZTF database. We calculate the H$\alpha$ time lags for 23 of them which have previous spectroscopic reverberation mapping (SRM) results using ICCF-Cut, JAVELIN and $\chi ^2$ methods. Our obtained H$\alpha$ time lags are slightly larger than the H$\beta$ time lags, which is consistent with the previous SRM results and the theoretical model of the AGN broad line region. The comparisons between SRM and PRM lag distributions and between the subtracted emission line lightcurves indicate that after selecting AGNs with the two criteria, combining the ICCF-Cut, JAVELIN and $\chi^2$ methods provides an efficient way to get the reliable H$\alpha$ lags from the broadband PRM. Such techniques can be used to estimate the black hole masses of a large sample of AGNs in the large multi-epoch photometric sky surveys such as the Legacy Survey of Space and Time (LSST) and the survey from the Wide Field Survey Telescope (WFST) in the near future.","Fri, 15 Mar 2024 11:42:22 UTC (4,587 KB)"
"5","KP-RED: Exploiting Semantic Keypoints for Joint 3D Shape Retrieval and Deformation","Ruida Zhang, Chenyangguang Zhang, Yan Di, Fabian Manhardt, Xingyu Liu, Federico Tombari, Xiangyang Ji","Computer Vision and Pattern Recognition (cs.CV)","In this paper, we present KP-RED, a unified KeyPoint-driven REtrieval and Deformation framework that takes object scans as input and jointly retrieves and deforms the most geometrically similar CAD models from a pre-processed database to tightly match the target. Unlike existing dense matching based methods that typically struggle with noisy partial scans, we propose to leverage category-consistent sparse keypoints to naturally handle both full and partial object scans. Specifically, we first employ a lightweight retrieval module to establish a keypoint-based embedding space, measuring the similarity among objects by dynamically aggregating deformation-aware local-global features around extracted keypoints. Objects that are close in the embedding space are considered similar in geometry. Then we introduce the neural cage-based deformation module that estimates the influence vector of each keypoint upon cage vertices inside its local support region to control the deformation of the retrieved shape. Extensive experiments on the synthetic dataset PartNet and the real-world dataset Scan2CAD demonstrate that KP-RED surpasses existing state-of-the-art approaches by a large margin. Codes and trained models will be released in this https URL.","Fri, 15 Mar 2024 08:44:56 UTC (4,048 KB)"
"6","Accelerating Regular Path Queries over Graph Database with Processing-in-Memory","Ruoyan Ma, Shengan Zheng, Guifeng Wang, Jin Pu, Yifan Hua, Wentao Wang, Linpeng Huang","Databases (cs.DB)","Regular path queries (RPQs) in graph databases are bottlenecked by the memory wall. Emerging processing-in-memory (PIM) technologies offer a promising solution to dispatch and execute path matching tasks in parallel within PIM modules. We present Moctopus, a PIM-based data management system for graph databases that supports efficient batch RPQs and graph updates. Moctopus employs a PIM-friendly dynamic graph partitioning algorithm, which tackles graph skewness and preserves graph locality with low overhead for RPQ processing. Moctopus enables efficient graph update by amortizing the host CPU's update overhead to PIM modules. Evaluation of Moctopus demonstrates superiority over the state-of-the-art traditional graph database.","Fri, 15 Mar 2024 06:46:00 UTC (409 KB)"
"7","PET-SQL: A Prompt-enhanced Two-stage Text-to-SQL Framework with Cross-consistency","Zhishuai Li, Xiang Wang, Jingjing Zhao, Sun Yang, Guoqing Du, Xiaoru Hu, Bin Zhang, Yuxiao Ye, Ziyue Li, Rui Zhao, Hangyu Mao","Computation and Language (cs.CL)","Recent advancements in Text-to-SQL (Text2SQL) emphasize stimulating the large language models (LLM) on in-context learning, achieving significant results. Nevertheless, they face challenges when dealing with verbose database information and complex user intentions. This paper presents a two-stage framework to enhance the performance of current LLM-based natural language to SQL systems. We first introduce a novel prompt representation, called reference-enhanced representation, which includes schema information and randomly sampled cell values from tables to instruct LLMs in generating SQL queries. Then, in the first stage, question-SQL pairs are retrieved as few-shot demonstrations, prompting the LLM to generate a preliminary SQL (PreSQL). After that, the mentioned entities in PreSQL are parsed to conduct schema linking, which can significantly compact the useful information. In the second stage, with the linked schema, we simplify the prompt's schema information and instruct the LLM to produce the final SQL. Finally, as the post-refinement module, we propose using cross-consistency across different LLMs rather than self-consistency within a particular LLM. Our methods achieve new SOTA results on the Spider benchmark, with an execution accuracy of 87.6%.","Wed, 13 Mar 2024 02:32:41 UTC (153 KB)"
"8","Open-Universe Indoor Scene Generation using LLM Program Synthesis and Uncurated Object Databases","Rio Aguina-Kang, Maxim Gumin, Do Heon Han, Stewart Morris, Seung Jean Yoo, Aditya Ganeshan, R. Kenny Jones, Qiuhong Anna Wei, Kailiang Fu, Daniel Ritchie","Computer Vision and Pattern Recognition (cs.CV)","We present a system for generating indoor scenes in response to text prompts. The prompts are not limited to a fixed vocabulary of scene descriptions, and the objects in generated scenes are not restricted to a fixed set of object categories -- we call this setting indoor scene generation. Unlike most prior work on indoor scene generation, our system does not require a large training dataset of existing 3D scenes. Instead, it leverages the world knowledge encoded in pre-trained large language models (LLMs) to synthesize programs in a domain-specific layout language that describe objects and spatial relations between them. Executing such a program produces a specification of a constraint satisfaction problem, which the system solves using a gradient-based optimization scheme to produce object positions and orientations. To produce object geometry, the system retrieves 3D meshes from a database. Unlike prior work which uses databases of category-annotated, mutually-aligned meshes, we develop a pipeline using vision-language models (VLMs) to retrieve meshes from massive databases of un-annotated, inconsistently-aligned meshes. Experimental evaluations show that our system outperforms generative models trained on 3D data for traditional, closed-universe scene generation tasks; it also outperforms a recent LLM-based layout generation method on open-universe scene generation.","Mon, 5 Feb 2024 01:59:31 UTC (30,736 KB)"
"9","Localization in Digital Twin MIMO Networks: A Case for Massive Fingerprinting","João Morais, Ahmed Alkhateeb","Information Theory (cs.IT)","Localization in outdoor wireless systems typically requires transmitting specific reference signals to estimate distance (trilateration methods) or angle (triangulation methods). These cause overhead on communication, need a LoS link to work well, and require multiple base stations, often imposing synchronization or specific hardware requirements. Fingerprinting has none of these drawbacks, but building its database requires high human effort to collect real-world measurements. For a long time, this issue limited the size of databases and thus their performance. This work proposes significantly reducing human effort in building fingerprinting databases by populating them with \textit{digital twin RF maps}. These RF maps are built from ray-tracing simulations on a digital replica of the environment across several frequency bands and beamforming configurations. Online user fingerprints are then matched against this spatial database. The approach was evaluated with practical simulations using realistic propagation models and user measurements. Our experiments show sub-meter localization errors on a NLoS location 95\% of the time using sensible user measurement report sizes. Results highlight the promising potential of the proposed digital twin approach for ubiquitous wide-area 6G localization.","Thu, 14 Mar 2024 17:52:17 UTC (3,872 KB)"
"10","Iterative Forgetting: Online Data Stream Regression Using Database-Inspired Adaptive Granulation","Niket Kathiriya, Hossein Haeri, Cindy Chen, Kshitij Jerath","Machine Learning (cs.LG)","Many modern systems, such as financial, transportation, and telecommunications systems, are time-sensitive in the sense that they demand low-latency predictions for real-time decision-making. Such systems often have to contend with continuous unbounded data streams as well as concept drift, which are challenging requirements that traditional regression techniques are unable to cater to. There exists a need to create novel data stream regression methods that can handle these scenarios. We present a database-inspired datastream regression model that (a) uses inspiration from R*-trees to create granules from incoming datastreams such that relevant information is retained, (b) iteratively forgets granules whose information is deemed to be outdated, thus maintaining a list of only recent, relevant granules, and (c) uses the recent data and granules to provide low-latency predictions. The R*-tree-inspired approach also makes the algorithm amenable to integration with database systems. Our experiments demonstrate that the ability of this method to discard data produces a significant order-of-magnitude improvement in latency and training time when evaluated against the most accurate state-of-the-art algorithms, while the R*-tree-inspired granulation technique provides competitively accurate predictions","Thu, 14 Mar 2024 17:26:00 UTC (4,292 KB)"
