"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","New Balance 1080V12 Running Sneakers","Amazing Arch support! Foot cramping and knee/back pain gone!","David Leavitt","This is the most I've ever spent on a pair of shoes before, and they are worth every penny. The middle of my foot up in the arch used to always cramp up at the end of the day. These shoes have AMAZING arch support! They press and support my arches into place while giving that central muscle the supported stretch that prevents foot cramps!I also dislocated my knee 5 years ago, and have since had residual on and off again knee pain/random swelling that prevent a full range of motion that has also led to lower back/sciatica pain. That pain has been completely resolved since wearing these daily!I was unsure about the color/style looking at them, but after they arrived I also really love the look!Definitely the best shoes I've ever bought. 100 percent a believer now in the importance of investing in your feet","Reviewed in the United States on 22 September 2023","4.6 out of 5 stars","Verified Purchase"
"2","New Balance 1080V12 Running Sneakers","Comodidad","David Leavitt","La comodidad....","Reviewed in the United States on 24 January 2024","5.0 out of 5 stars","Verified Purchase"
"3","New Balance 1080V12 Running Sneakers","Supinator/Underpronator","Amazon Customer","Since 2001, I've had various kinds of foot pain. Usually when I buy a new pair of sneakers, the pain kind of goes away but then returns about 9 months later.I had bought and worn a pair of Hokas and I had a lot of foot pain. A runner looked at the bottom of those shoes and told me that I was supinating/underpronating. I did research on this and eventually found this shoe, the New Balance Fresh Foam X 1080.I have been wearing these shoes for over a year and my foot pain is completely gone! I went ahead and bought another pair 5 months ago (because Murphy's Law is upon finding a product you love, it will be discontinued). I'm just waiting for some kind of foot pain to start before I start wearing the new pair. The first pair are getting pretty worn-looking. I average 1.5 - 2 miles a day of walking and wear sneakers even more since 2020.The sole is pretty flared, probably too flared for any court sports. I don't care if they look dorky, comfort is my priority.","Reviewed in the United States on 26 August 2023","5.0 out of 5 stars","Verified Purchase"
"4","New Balance 1080V12 Running Sneakers","Awesome pair of shoes","Michele","I've used Hoka and On Clouds, but these have been far more superior in cushion and comfort on my feet during runs. I will be buying more pairs","Reviewed in the United States on 29 December 2023","5.0 out of 5 stars","Verified Purchase"
"5","New Balance 1080V12 Running Sneakers","They look and work great...","Jay","I stand 10 hours a day, they are my choice for comfort. I love New Balance...","Reviewed in the United States on 15 December 2023","5.0 out of 5 stars","Verified Purchase"
"6","New Balance 1080V12 Running Sneakers","Excellent shoes, but not for me","Deborah Giampaolo","I bought these because one of my physicians and his nurse are crazy about them for office wear and insisted that I try them.These are well-made, high quality shoes.  They are very light weight and well cushioned.  There is a generous toe box, the width is perfect.  (I have very narrow feet and the normal width is generous and comfortable for me.)  In fact, they're extremely comfortable when I'm standing still.However, the optimal shoe depends on individual needs.  I need neutral shoes and these cause me to overpronate (turn my heel towards the inside of the shoe) and change my gait.  I'm returning them because they don't fit my needs, but they're excellent shoes for the right people.","Reviewed in the United States on 7 August 2023","5.0 out of 5 stars","Verified Purchase"
"7","New Balance 1080V12 Running Sneakers","Great for flat feet!","Lisa","I have flat feet and these are so comfortable! I do some jogging but a ton of walking these days and this is my second pair of this style. I love them! Totally worth the money and I would highly recommend for anyone who has little to no arch in their foot and need some support.","Reviewed in the United States on 21 November 2023","5.0 out of 5 stars","Verified Purchase"
"8","New Balance 1080V12 Running Sneakers","Favorite running shoe to date","Katherine","ComfortableEasy to cleanLightweightNew Balance has out done themselves, these are incredibly comfy and great for running and walking. I am a teacher and these are for being on my feet all day!","Reviewed in the United States on 9 December 2023","5.0 out of 5 stars","Verified Purchase"
"9","New Balance 1080V12 Running Sneakers","New balance shoes","Katherine Christesen","Purchased these shoes. They run big. I usually wear a 9 wide or 9.5 regular.  But I needed a 8.5 wide so I sent them back and ordered a 8.5 fits better.","Reviewed in the United States on 5 December 2023","5.0 out of 5 stars","Verified Purchase"
"10","New Balance 1080V12 Running Sneakers","Great support and comfort","Josie Granger","This particular model is very comfortable and gives all day support. Recovering from several injuries and this shoes has been great!Order half size up if you don’t want a tight fit.Color is really nice too!","Reviewed in the United States on 9 December 2023","5.0 out of 5 stars","Verified Purchase"
"11","New Balance 1080V12 Running Sneakers","Great shoe","Anita M Houston Castor","True to size, feels great. Love the cushion.","Reviewed in the United States on 18 December 2023","4.6 out of 5 stars","Verified Purchase"
"12","New Balance 1080V12 Running Sneakers","I LOVE these shoes!","Linda","The fit is fantastic, the color is perfect!","Reviewed in the United States on 7 December 2023","5.0 out of 5 stars","Verified Purchase"
"13","New Balance 1080V12 Running Sneakers","Love them may run a half size larger","pat turnipseed","I have Achilles tendinitis and planter fasciitis going on at the same time, lucky me!  I’ve spent a small fortune in shoes that were recommended, not going to say the brand names, they just didn’t work for me.  I’m so blessed to have come across these.  I tried on the v11 and didn’t like the heel digging in me, and took a chance purchasing these on line!  I’m very satisfied. I read way too many reviews, but the good far out weighed the negative.  I wear a 7 in shoes and usually get a 7 1/2 in sneakers but I don’t wear socks.  The toe box is a a smidge longer and I def would order down just a hair! I got a 7 and they’re perfect!!!  I got the black and plan on getting other colors now.  Another important reason I chose v12 is the tongue is not sewn onto the top…. So you can loosen it or tighten it.  I have a small humps on the top of both feet and these feel like heaven.  I HIGHLY recommend the 1080v12, seriously just get them and you won’t be disappointed 😄","Reviewed in the United States on 14 July 2022","5.0 out of 5 stars","Verified Purchase"
"14","New Balance 1080V12 Running Sneakers","Sizing","Amazon Customer","I usually wear  7.5-8 in shoes but in New Balance I always get an 8.5 and it fits great. So that is what I got. The shoes are way too long but are super narrow so I can see what others meant in their reviews. I returned for an wide 8. Hoping they fit. The shoes themselves have great cushion. Much more than my cheaper version of new balance.","Reviewed in the United States on 18 April 2023","5.0 out of 5 stars","Verified Purchase"
"15","New Balance 1080V12 Running Sneakers","Very comfy","Hunter L.","I am a nurse in the OR at a hospital and I am on my feet ALL DAY. I was looking for a pair of shoes that were going to be super comfy for my 12 hour shifts and the New Balance 1080s had been recommended to me. I’ve been wearing them for a couple weeks now and love them. Although, they did take a couple shifts to get softened up, they felt a little hard at first.","Reviewed in the United States on 24 July 2023","4.0 out of 5 stars","Verified Purchase"
"16","New Balance 1080V12 Running Sneakers","Running Shoes","Catherine  herring","Received these too fast! my go to running shoes!","Reviewed in the United States on 15 November 2023","5.0 out of 5 stars","Verified Purchase"
"17","New Balance 1080V12 Running Sneakers","Super Comfy but runs 2 sizes too big","Charleen Bradley","I’m usually an 8.5 but had to send back for 7.5 - still big but love the look.  Already worn through the big toe section… probably won’t last long.  But very comfortable for now.","Reviewed in the United States on 11 May 2023","5.0 out of 5 stars","Verified Purchase"
