"","prod_name","title","reviewer","review","date","ratings","type_of_purchase"
"1","new balance 1080v12 running sneakers","amazing arch support foot cramping and kneeback pain gone","david leavitt","this is the most ive ever spent on a pair of shoes before and they are worth every penny the middle of my foot up in the arch used to always cramp up at the end of the day these shoes have amazing arch support they press and support my arches into place while giving that central muscle the supported stretch that prevents foot crampsi also dislocated my knee  years ago and have since had residual on and off again knee painrandom swelling that prevent a full range of motion that has also led to lower backsciatica pain that pain has been completely resolved since wearing these dailyi was unsure about the colorstyle looking at them but after they arrived i also really love the lookdefinitely the best shoes ive ever bought  percent a believer now in the importance of investing in your feet",2023-09-22,4,"verified purchase"
"2","new balance 1080v12 running sneakers","comodidad","david leavitt","la comodidad",2024-01-24,5,"verified purchase"
"3","new balance 1080v12 running sneakers","supinatorunderpronator","amazon customer","since  ive had various kinds of foot pain usually when i buy a new pair of sneakers the pain kind of goes away but then returns about  months lateri had bought and worn a pair of hokas and i had a lot of foot pain a runner looked at the bottom of those shoes and told me that i was supinatingunderpronating i did research on this and eventually found this shoe the new balance fresh foam x i have been wearing these shoes for over a year and my foot pain is completely gone i went ahead and bought another pair  months ago because murphys law is upon finding a product you love it will be discontinued im just waiting for some kind of foot pain to start before i start wearing the new pair the first pair are getting pretty wornlooking i average    miles a day of walking and wear sneakers even more since the sole is pretty flared probably too flared for any court sports i dont care if they look dorky comfort is my priority",2023-08-26,5,"verified purchase"
"4","new balance 1080v12 running sneakers","awesome pair of shoes","michele","ive used hoka and on clouds but these have been far more superior in cushion and comfort on my feet during runs i will be buying more pairs",2023-12-29,5,"verified purchase"
"5","new balance 1080v12 running sneakers","they look and work great","jay","i stand  hours a day they are my choice for comfort i love new balance",2023-12-15,5,"verified purchase"
"6","new balance 1080v12 running sneakers","excellent shoes but not for me","deborah giampaolo","i bought these because one of my physicians and his nurse are crazy about them for office wear and insisted that i try themthese are wellmade high quality shoes  they are very light weight and well cushioned  there is a generous toe box the width is perfect  i have very narrow feet and the normal width is generous and comfortable for me  in fact theyre extremely comfortable when im standing stillhowever the optimal shoe depends on individual needs  i need neutral shoes and these cause me to overpronate turn my heel towards the inside of the shoe and change my gait  im returning them because they dont fit my needs but theyre excellent shoes for the right people",2023-08-07,5,"verified purchase"
"7","new balance 1080v12 running sneakers","great for flat feet","lisa","i have flat feet and these are so comfortable i do some jogging but a ton of walking these days and this is my second pair of this style i love them totally worth the money and i would highly recommend for anyone who has little to no arch in their foot and need some support",2023-11-21,5,"verified purchase"
"8","new balance 1080v12 running sneakers","favorite running shoe to date","katherine","comfortableeasy to cleanlightweightnew balance has out done themselves these are incredibly comfy and great for running and walking i am a teacher and these are for being on my feet all day",2023-12-09,5,"verified purchase"
"9","new balance 1080v12 running sneakers","new balance shoes","katherine christesen","purchased these shoes they run big i usually wear a  wide or  regular  but i needed a  wide so i sent them back and ordered a  fits better",2023-12-05,5,"verified purchase"
"10","new balance 1080v12 running sneakers","great support and comfort","josie granger","this particular model is very comfortable and gives all day support recovering from several injuries and this shoes has been greatorder half size up if you dont want a tight fitcolor is really nice too",2023-12-09,5,"verified purchase"
"11","new balance 1080v12 running sneakers","great shoe","anita m houston castor","true to size feels great love the cushion",2023-12-18,4,"verified purchase"
"12","new balance 1080v12 running sneakers","i love these shoes","linda","the fit is fantastic the color is perfect",2023-12-07,5,"verified purchase"
"13","new balance 1080v12 running sneakers","love them may run a half size larger","pat turnipseed","i have achilles tendinitis and planter fasciitis going on at the same time lucky me  ive spent a small fortune in shoes that were recommended not going to say the brand names they just didnt work for me  im so blessed to have come across these  i tried on the v and didnt like the heel digging in me and took a chance purchasing these on line  im very satisfied i read way too many reviews but the good far out weighed the negative  i wear a  in shoes and usually get a   in sneakers but i dont wear socks  the toe box is a a smidge longer and i def would order down just a hair i got a  and theyre perfect  i got the black and plan on getting other colors now  another important reason i chose v is the tongue is not sewn onto the top so you can loosen it or tighten it  i have a small humps on the top of both feet and these feel like heaven  i highly recommend the v seriously just get them and you wont be disappointed ",2022-07-14,5,"verified purchase"
