"","title","author","subject","abstract","date"
"1","deep bi-directional attention network for image super-resolution quality assessment","yixiao li, xiaoyuan yang, jun fu, guanghui yue, wei zhou","multimedia","there has emerged a growing interest in exploring efficient quality assessment algorithms for image super-resolution (sr). however, employing deep learning techniques, especially dual-branch algorithms, to automatically evaluate the visual quality of sr images remains challenging. existing sr image quality assessment (iqa) metrics based on two-stream networks lack interactions between branches. to address this, we propose a novel full-reference iqa (fr-iqa) method for sr images. specifically, producing sr images and evaluating how close the sr images are to the corresponding hr references are separate processes. based on this consideration, we construct a deep bi-directional attention network (biatten-net) that dynamically deepens visual attention to distortions in both processes, which aligns well with the human visual system (hvs). experiments on public sr quality databases demonstrate the superiority of our proposed biatten-net over state-of-the-art quality assessment methods. in addition, the visualization results and ablation study show the effectiveness of bi-directional attention.",2024-03-15
"2","action functional as early warning indicator in the space of probability measures","peng zhang, ting gao, jin guo, jinqiao duan","dynamical systems","in neuroscience, scientists have some hypotheses on the brain's critical dynamics, which means the brain may stay in a phase transition state between ordered and disordered activities. some tipping points, as a past of no return, can be critical for neural diseases. therefore, a key question is how the critical brain hypothesis relates to pathological conditions compared with normal brain functionality. action functional between two meta-stable states in stochastic dynamical systems is a good tool to study the critical transition and tipping. here we extend the conventional onsager-machlup action functional of finding the most probable transition pathway to be looking for the evolutionary transition dynamics between two meta-stable invariant sets. hence a rich theory from schrödinger bridge and optimal transport is brought in to solve this problem. furthermore, different from various early warning indicators via statistics, bifurcation theory, information theory, statistical physics, topology, graph theory, we propose a novel viewpoint of early warning indicators in the space of probability measure, which facilitates us to build indicators based on action functional. to validate our framework, we apply this methodology to a morris-lecar model introduced to analyze the transition dynamics between a meta-stable state and the homo-clinic orbit. besides, the real alzheimer's data from adni database is also investigated to study the early warning signals of transition from healthy to pre-ad states. this framework not only extends the transition path to be pathway measures between two given densities on invariant sets but also shows potential ability for early warning indicators or biomarkers in complex diseases.",2024-03-15
"3","kif: a framework for virtual integration of heterogeneous knowledge bases using wikidata","guilherme lima, marcelo machado, elton soares, sandro r. fiorini, raphael thiago, leonardo g. azevedo, viviane t. da silva, renato cerqueira","artificial intelligence","we present a knowledge integration framework (called kif) that uses wikidata as a lingua franca to integrate heterogeneous knowledge bases. these can be triplestores, relational databases, csv files, etc., which may or may not use the wikidata dialect of rdf. kif leverages wikidata's data model and vocabulary plus user-defined mappings to expose a unified view of the integrated bases while keeping track of the context and provenance of their statements. the result is a virtual knowledge base which behaves like an ""extended wikidata"" and which can be queried either through an efficient filter interface or using sparql. we present the design and implementation of kif, discuss how we have used it to solve a real integration problem in the domain of chemistry (involving wikidata, pubchem, and ibm circa), and present experimental results on the performance and overhead of kif.",2024-03-15
"4","h$α$ time delays of agns from the zwicky transcient facility broadband photometry","qinchun ma, yuhan wen, xue-bing wu, huapeng gu, yuming fu","astrophysics of galaxies","in our previous work on broadband photometric reverberation mapping (prm), we proposed the iccf-cut process to obtain the time lags of h$\alpha$ emission line from two broadband lightcurves via subtracting the continuum emission from the line band. extending the work, we enlarge our sample to the zwicky transient facility (ztf) database. we adopt two criteria to select 123 type 1 agns with sufficient variability and smooth lightcurves from 3537 agns at $z<0.09$ with more than 100 epoch observations in the $g$ and $r$ bands from the ztf database. we calculate the h$\alpha$ time lags for 23 of them which have previous spectroscopic reverberation mapping (srm) results using iccf-cut, javelin and $\chi ^2$ methods. our obtained h$\alpha$ time lags are slightly larger than the h$\beta$ time lags, which is consistent with the previous srm results and the theoretical model of the agn broad line region. the comparisons between srm and prm lag distributions and between the subtracted emission line lightcurves indicate that after selecting agns with the two criteria, combining the iccf-cut, javelin and $\chi^2$ methods provides an efficient way to get the reliable h$\alpha$ lags from the broadband prm. such techniques can be used to estimate the black hole masses of a large sample of agns in the large multi-epoch photometric sky surveys such as the legacy survey of space and time (lsst) and the survey from the wide field survey telescope (wfst) in the near future.",2024-03-15
"5","kp-red: exploiting semantic keypoints for joint 3d shape retrieval and deformation","ruida zhang, chenyangguang zhang, yan di, fabian manhardt, xingyu liu, federico tombari, xiangyang ji","computer vision and pattern recognition","in this paper, we present kp-red, a unified keypoint-driven retrieval and deformation framework that takes object scans as input and jointly retrieves and deforms the most geometrically similar cad models from a pre-processed database to tightly match the target. unlike existing dense matching based methods that typically struggle with noisy partial scans, we propose to leverage category-consistent sparse keypoints to naturally handle both full and partial object scans. specifically, we first employ a lightweight retrieval module to establish a keypoint-based embedding space, measuring the similarity among objects by dynamically aggregating deformation-aware local-global features around extracted keypoints. objects that are close in the embedding space are considered similar in geometry. then we introduce the neural cage-based deformation module that estimates the influence vector of each keypoint upon cage vertices inside its local support region to control the deformation of the retrieved shape. extensive experiments on the synthetic dataset partnet and the real-world dataset scan2cad demonstrate that kp-red surpasses existing state-of-the-art approaches by a large margin. codes and trained models will be released in this https url.",2024-03-15
"6","accelerating regular path queries over graph database with processing-in-memory","ruoyan ma, shengan zheng, guifeng wang, jin pu, yifan hua, wentao wang, linpeng huang","databases","regular path queries (rpqs) in graph databases are bottlenecked by the memory wall. emerging processing-in-memory (pim) technologies offer a promising solution to dispatch and execute path matching tasks in parallel within pim modules. we present moctopus, a pim-based data management system for graph databases that supports efficient batch rpqs and graph updates. moctopus employs a pim-friendly dynamic graph partitioning algorithm, which tackles graph skewness and preserves graph locality with low overhead for rpq processing. moctopus enables efficient graph update by amortizing the host cpu's update overhead to pim modules. evaluation of moctopus demonstrates superiority over the state-of-the-art traditional graph database.",2024-03-15
"7","pet-sql: a prompt-enhanced two-stage text-to-sql framework with cross-consistency","zhishuai li, xiang wang, jingjing zhao, sun yang, guoqing du, xiaoru hu, bin zhang, yuxiao ye, ziyue li, rui zhao, hangyu mao","computation and language","recent advancements in text-to-sql (text2sql) emphasize stimulating the large language models (llm) on in-context learning, achieving significant results. nevertheless, they face challenges when dealing with verbose database information and complex user intentions. this paper presents a two-stage framework to enhance the performance of current llm-based natural language to sql systems. we first introduce a novel prompt representation, called reference-enhanced representation, which includes schema information and randomly sampled cell values from tables to instruct llms in generating sql queries. then, in the first stage, question-sql pairs are retrieved as few-shot demonstrations, prompting the llm to generate a preliminary sql (presql). after that, the mentioned entities in presql are parsed to conduct schema linking, which can significantly compact the useful information. in the second stage, with the linked schema, we simplify the prompt's schema information and instruct the llm to produce the final sql. finally, as the post-refinement module, we propose using cross-consistency across different llms rather than self-consistency within a particular llm. our methods achieve new sota results on the spider benchmark, with an execution accuracy of 87.6%.",2024-03-13
"8","open-universe indoor scene generation using llm program synthesis and uncurated object databases","rio aguina-kang, maxim gumin, do heon han, stewart morris, seung jean yoo, aditya ganeshan, r. kenny jones, qiuhong anna wei, kailiang fu, daniel ritchie","computer vision and pattern recognition","we present a system for generating indoor scenes in response to text prompts. the prompts are not limited to a fixed vocabulary of scene descriptions, and the objects in generated scenes are not restricted to a fixed set of object categories -- we call this setting indoor scene generation. unlike most prior work on indoor scene generation, our system does not require a large training dataset of existing 3d scenes. instead, it leverages the world knowledge encoded in pre-trained large language models (llms) to synthesize programs in a domain-specific layout language that describe objects and spatial relations between them. executing such a program produces a specification of a constraint satisfaction problem, which the system solves using a gradient-based optimization scheme to produce object positions and orientations. to produce object geometry, the system retrieves 3d meshes from a database. unlike prior work which uses databases of category-annotated, mutually-aligned meshes, we develop a pipeline using vision-language models (vlms) to retrieve meshes from massive databases of un-annotated, inconsistently-aligned meshes. experimental evaluations show that our system outperforms generative models trained on 3d data for traditional, closed-universe scene generation tasks; it also outperforms a recent llm-based layout generation method on open-universe scene generation.",2024-02-05
"9","localization in digital twin mimo networks: a case for massive fingerprinting","joão morais, ahmed alkhateeb","information theory","localization in outdoor wireless systems typically requires transmitting specific reference signals to estimate distance (trilateration methods) or angle (triangulation methods). these cause overhead on communication, need a los link to work well, and require multiple base stations, often imposing synchronization or specific hardware requirements. fingerprinting has none of these drawbacks, but building its database requires high human effort to collect real-world measurements. for a long time, this issue limited the size of databases and thus their performance. this work proposes significantly reducing human effort in building fingerprinting databases by populating them with \textit{digital twin rf maps}. these rf maps are built from ray-tracing simulations on a digital replica of the environment across several frequency bands and beamforming configurations. online user fingerprints are then matched against this spatial database. the approach was evaluated with practical simulations using realistic propagation models and user measurements. our experiments show sub-meter localization errors on a nlos location 95\% of the time using sensible user measurement report sizes. results highlight the promising potential of the proposed digital twin approach for ubiquitous wide-area 6g localization.",2024-03-14
"10","iterative forgetting: online data stream regression using database-inspired adaptive granulation","niket kathiriya, hossein haeri, cindy chen, kshitij jerath","machine learning","many modern systems, such as financial, transportation, and telecommunications systems, are time-sensitive in the sense that they demand low-latency predictions for real-time decision-making. such systems often have to contend with continuous unbounded data streams as well as concept drift, which are challenging requirements that traditional regression techniques are unable to cater to. there exists a need to create novel data stream regression methods that can handle these scenarios. we present a database-inspired datastream regression model that (a) uses inspiration from r*-trees to create granules from incoming datastreams such that relevant information is retained, (b) iteratively forgets granules whose information is deemed to be outdated, thus maintaining a list of only recent, relevant granules, and (c) uses the recent data and granules to provide low-latency predictions. the r*-tree-inspired approach also makes the algorithm amenable to integration with database systems. our experiments demonstrate that the ability of this method to discard data produces a significant order-of-magnitude improvement in latency and training time when evaluated against the most accurate state-of-the-art algorithms, while the r*-tree-inspired granulation technique provides competitively accurate predictions",2024-03-14
